,name,mp,ons_code
0,Brent Central,Dawn Butler MP,E14000591
1,Chelmsford,Vicky Ford MP,E14000628
2,Chippenham,Michelle Donelan MP,E14000635
3,Denton and Reddish,Andrew Gwynne MP,E14000661
4,East Yorkshire,Rt Hon Sir Greg Knight MP,E14000683
5,Hertford and Stortford,Mr Mark Prisk MP,E14000744
6,Kingston upon Hull East,Karl Turner MP,E14000771
7,Kirkcaldy and Cowdenbeath,Lesley Laird MP,S14000041
8,Livingston,Hannah Bardell MP,S14000044
9,"Manchester, Gorton",Afzal Khan MP,E14000808
10,North Dorset,Simon Hoare MP,E14000839
11,North East Hertfordshire,Rt Hon Sir Oliver Heald QC MP,E14000845
12,Rotherham,Sarah Champion MP,E14000904
13,Runnymede and Weybridge,Rt Hon Philip Hammond MP,E14000907
14,"Southampton, Itchen",Royston Smith MP,E14000955
15,York Central,Rachael Maskell MP,E14001061
16,Aberdeen North,Kirsty Blackman MP,S14000001
17,Aberdeen South,Ross Thomson MP,S14000002
18,Aldershot,Leo Docherty MP,E14000530
19,Aldridge-Brownhills,Wendy Morton MP,E14000531
20,Altrincham and Sale West,Sir Graham Brady MP,E14000532
21,Arundel and South Downs,Rt Hon Nick Herbert MP,E14000534
22,Ashfield,Gloria De Piero MP,E14000535
23,Ashford,Rt Hon Damian Green MP,E14000536
24,Banff and Buchan,David Duguid MP,S14000007
25,Basingstoke,Rt Hon Maria Miller MP,E14000545
26,Bassetlaw,John Mann MP,E14000546
27,Bath,Wera Hobhouse MP,E14000547
28,Battersea,Marsha De Cordova MP,E14000549
29,Bedford,Mohammad Yasin MP,E14000552
30,Belfast East,Gavin Robinson MP,N06000001
31,Belfast North,Rt Hon Nigel Dodds MP,N06000002
32,Bethnal Green and Bow,Rushanara Ali MP,E14000555
33,"Birmingham, Edgbaston",Preet Kaur Gill MP,E14000560
34,"Birmingham, Hall Green",Mr Roger Godsiff MP,E14000562
35,"Birmingham, Selly Oak",Steve McCabe MP,E14000567
36,"Birmingham, Yardley",Jess Phillips MP,E14000568
37,Blackburn,Kate Hollern MP,E14000570
38,Blackpool South,Gordon Marsden MP,E14000573
39,Blaenau Gwent,Nick Smith MP,W07000072
40,Blaydon,Liz Twist MP,E14000574
41,Bolton South East,Yasmin Qureshi MP,E14000579
42,Bosworth,David Tredinnick MP,E14000583
43,Bournemouth East,Rt Hon Tobias Ellwood MP,E14000584
