,ONSConstID,RegionName,PopTotalConstNum
0,E14000554,North East,74936
1,E14000569,North East,88476
2,E14000574,North East,88118
3,E14000575,North East,83203
4,E14000641,North East,99347
5,E14000658,North East,91162
6,E14000677,North East,82673
7,E14000709,North East,96380
8,E14000733,North East,92817
9,E14000746,North East,76616
10,E14000754,North East,87977
11,E14000765,North East,83308
12,E14000819,North East,95665
13,E14000820,North East,93266
14,E14000831,North East,102536
15,E14000832,North East,101480
16,E14000833,North East,92462
17,E14000840,North East,88002
18,E14000853,North East,103767
19,E14000856,North East,93772
20,E14000891,North East,86871
21,E14000915,North East,84357
22,E14000944,North East,83204
23,E14000970,North East,92653
24,E14000971,North East,103028
25,E14000982,North East,101676
26,E14001006,North East,99540
27,E14001014,North East,81247
28,E14001020,North East,88309
29,E14000532,North West,100942
30,E14000537,North West,92015
31,E14000543,North West,86900
32,E14000559,North West,89572
33,E14000570,North West,107594
34,E14000571,North West,121000
35,E14000572,North West,83261
36,E14000573,North West,79048
37,E14000578,North West,97116
38,E14000579,North West,105085
39,E14000580,North West,95937
40,E14000581,North West,98986
41,E14000609,North West,87522
42,E14000611,North West,89296
43,E14000612,North West,99373
44,E14000620,North West,86670
45,E14000627,North West,93222
46,E14000637,North West,101442
47,E14000640,North West,95839
48,E14000646,North West,94020
49,E14000647,North West,79375
50,E14000653,North West,109405
51,E14000661,North West,86684
52,E14000686,North West,88087
53,E14000688,North West,87198
54,E14000706,North West,84083
55,E14000708,North West,98759
56,E14000725,North West,96659
57,E14000738,North West,80482
58,E14000747,North West,105936
59,E14000758,North West,92320
60,E14000775,North West,105329
61,E14000776,North West,89637
62,E14000785,North West,104590
63,E14000793,North West,128543
64,E14000794,North West,92015
65,E14000795,North West,93941
66,E14000796,North West,91750
67,E14000802,North West,93604
68,E14000805,North West,99906
69,E14000807,North West,154244
70,E14000808,North West,119145
71,E14000809,North West,101465
72,E14000825,North West,90403
73,E14000870,North West,105520
74,E14000871,North West,106695
75,E14000875,North West,90588
76,E14000877,North West,82256
77,E14000885,North West,96568
78,E14000894,North West,98623
79,E14000897,North West,110229
80,E14000902,North West,97558
81,E14000911,North West,116535
82,E14000916,North West,83489
83,E14000943,North West,99398
84,E14000958,North West,91786
85,E14000962,North West,98205
86,E14000963,North West,102406
87,E14000967,North West,93339
88,E14000969,North West,88513
89,E14000979,North West,100890
90,E14000987,North West,85849
91,E14001010,North West,89732
92,E14001017,North West,96753
93,E14001018,North West,112056
94,E14001024,North West,88617
95,E14001033,North West,97233
96,E14001037,North West,83695
97,E14001039,North West,103541
98,E14001043,North West,72826
99,E14001044,North West,69108
100,E14001053,North West,79010
101,E14001054,North West,102349
102,E14001057,North West,89764
103,E14001059,North West,108092
104,E14000541,Yorkshire and The Humber,89724
105,E14000542,Yorkshire and The Humber,94045
106,E14000548,Yorkshire and The Humber,111573
107,E14000556,Yorkshire and The Humber,100227
108,E14000587,Yorkshire and The Humber,117776
109,E14000588,Yorkshire and The Humber,104636
110,E14000589,Yorkshire and The Humber,117872
111,E14000596,Yorkshire and The Humber,88198
112,E14000614,Yorkshire and The Humber,105058
113,E14000643,Yorkshire and The Humber,93974
114,E14000645,Yorkshire and The Humber,111962
115,E14000666,Yorkshire and The Humber,113864
116,E14000667,Yorkshire and The Humber,99522
117,E14000668,Yorkshire and The Humber,108443
118,E14000669,Yorkshire and The Humber,98432
119,E14000683,Yorkshire and The Humber,102005
120,E14000689,Yorkshire and The Humber,100705
121,E14000716,Yorkshire and The Humber,88099
122,E14000723,Yorkshire and The Humber,104712
123,E14000724,Yorkshire and The Humber,88921
124,E14000730,Yorkshire and The Humber,100541
125,E14000740,Yorkshire and The Humber,96407
126,E14000756,Yorkshire and The Humber,99648
127,E14000766,Yorkshire and The Humber,97832
128,E14000771,Yorkshire and The Humber,91608
129,E14000772,Yorkshire and The Humber,96759
130,E14000773,Yorkshire and The Humber,86685
131,E14000777,Yorkshire and The Humber,150241
132,E14000778,Yorkshire and The Humber,99059
133,E14000779,Yorkshire and The Humber,93044
134,E14000780,Yorkshire and The Humber,85959
135,E14000781,Yorkshire and The Humber,93865
136,E14000826,Yorkshire and The Humber,98348
137,E14000836,Yorkshire and The Humber,111203
138,E14000876,Yorkshire and The Humber,88943
139,E14000886,Yorkshire and The Humber,91558
140,E14000895,Yorkshire and The Humber,109504
141,E14000903,Yorkshire and The Humber,96141
142,E14000904,Yorkshire and The Humber,90972
143,E14000913,Yorkshire and The Humber,96268
144,E14000914,Yorkshire and The Humber,91390
145,E14000917,Yorkshire and The Humber,99937
146,E14000919,Yorkshire and The Humber,128497
147,E14000920,Yorkshire and The Humber,94022
148,E14000921,Yorkshire and The Humber,111496
149,E14000922,Yorkshire and The Humber,92163
150,E14000923,Yorkshire and The Humber,94911
151,E14000925,Yorkshire and The Humber,96163
152,E14000928,Yorkshire and The Humber,98809
153,E14000993,Yorkshire and The Humber,99807
154,E14001009,Yorkshire and The Humber,98188
155,E14001028,Yorkshire and The Humber,97658
156,E14001061,Yorkshire and The Humber,111775
157,E14001062,Yorkshire and The Humber,96592
158,E14000533,East Midlands,89363
159,E14000535,East Midlands,105402
160,E14000546,East Midlands,105612
161,E14000577,East Midlands,97112
162,E14000582,East Midlands,105171
163,E14000583,East Midlands,103310
164,E14000607,East Midlands,97775
165,E14000625,East Midlands,100860
166,E14000632,East Midlands,94131
167,E14000648,East Midlands,118787
168,E14000660,East Midlands,97822
169,E14000662,East Midlands,102559
170,E14000663,East Midlands,114435
171,E14000664,East Midlands,79090
172,E14000695,East Midlands,96729
173,E14000707,East Midlands,96294
174,E14000710,East Midlands,94517
175,E14000714,East Midlands,109948
176,E14000728,East Midlands,104253
177,E14000748,East Midlands,91662
178,E14000769,East Midlands,99002
179,E14000782,East Midlands,115536
180,E14000783,East Midlands,125622
181,E14000784,East Midlands,107185
