ons_code,created_at_month,vote_count
E14000591,2015-07-31,2794.0
E14000591,2015-08-31,2648.0
E14000591,2015-09-30,2941.0
E14000591,2015-10-31,704.0
E14000591,2015-11-30,4727.0
E14000591,2015-12-31,1053.0
E14000591,2016-01-31,1786.0
E14000591,2016-02-29,2667.0
E14000591,2016-03-31,2085.0
E14000591,2016-04-30,1935.0
E14000591,2016-05-31,12924.0
E14000591,2016-06-30,2375.0
E14000591,2016-07-31,568.0
E14000591,2016-08-31,485.0
E14000591,2016-09-30,1436.0
E14000591,2016-10-31,1632.0
E14000591,2016-11-30,8437.0
E14000591,2016-12-31,603.0
E14000591,2017-01-31,1922.0
E14000591,2017-02-28,2830.0
E14000591,2017-03-31,843.0
E14000591,2017-04-30,477.0
E14000628,2015-07-31,3166.0
E14000628,2015-08-31,3432.0
E14000628,2015-09-30,4594.0
E14000628,2015-10-31,1639.0
E14000628,2015-11-30,3377.0
E14000628,2015-12-31,1291.0
E14000628,2016-01-31,1305.0
E14000628,2016-02-29,3516.0
E14000628,2016-03-31,2836.0
E14000628,2016-04-30,1260.0
E14000628,2016-05-31,8930.0
E14000628,2016-06-30,1574.0
E14000628,2016-07-31,1072.0
E14000628,2016-08-31,878.0
E14000628,2016-09-30,1585.0
E14000628,2016-10-31,2503.0
E14000628,2016-11-30,4917.0
E14000628,2016-12-31,805.0
E14000628,2017-01-31,2118.0
E14000628,2017-02-28,1767.0
E14000628,2017-03-31,1062.0
E14000628,2017-04-30,388.0
E14000635,2015-07-31,3107.0
E14000635,2015-08-31,2948.0
E14000635,2015-09-30,3625.0
E14000635,2015-10-31,1272.0
E14000635,2015-11-30,2932.0
E14000635,2015-12-31,1531.0
E14000635,2016-01-31,1605.0
E14000635,2016-02-29,3088.0
E14000635,2016-03-31,3382.0
E14000635,2016-04-30,1238.0
E14000635,2016-05-31,9225.0
E14000635,2016-06-30,1809.0
E14000635,2016-07-31,851.0
E14000635,2016-08-31,1007.0
E14000635,2016-09-30,1395.0
E14000635,2016-10-31,2541.0
E14000635,2016-11-30,4981.0
E14000635,2016-12-31,741.0
E14000635,2017-01-31,2171.0
E14000635,2017-02-28,1298.0
E14000635,2017-03-31,1529.0
E14000635,2017-04-30,134.0
E14000661,2015-07-31,2679.0
E14000661,2015-08-31,2312.0
E14000661,2015-09-30,3531.0
E14000661,2015-10-31,1076.0
E14000661,2015-11-30,2597.0
E14000661,2015-12-31,963.0
E14000661,2016-01-31,1123.0
E14000661,2016-02-29,2546.0
E14000661,2016-03-31,2639.0
E14000661,2016-04-30,870.0
E14000661,2016-05-31,5159.0
E14000661,2016-06-30,1336.0
E14000661,2016-07-31,1015.0
